"RIVER","TYPE","UTM_N","UTM_E","Y","X","lon","lat"
"SFY","Solinst",4358495.114,695229.6749,39.353865,-120.734188,-120.734188,39.353865
"NFY","Solinst",4375538.933,673880.1773,39.511905,-120.977379,-120.977379,39.511905
"MFA","Solinst",4311224,676115,38.932276,-120.968171,-120.968171,38.932276
"RUB","Solinst",4318080.046,700073.2506,38.988871,-120.689958,-120.689958,38.988871
"NFA","Solinst",4330727.48,679511.69,39.107224,-120.923875,-120.923875,39.107224
"MFY","Solinst",4368041.867,689497.9515,39.4411,-120.79796,-120.79796,39.4411
